Country Code ISO3,Country,2021 SDG Index Rank,2021 SDG Index Score,Regional Score (0-100),Regions used for the SDR,Population in 2020,Goal 1,Goal 2,Goal 3,Goal 4,Goal 5,Goal 6,Goal 7,Goal 8,Goal 9,Goal 10,Goal 11,Goal 12,Goal 13,Goal 14,Goal 15,Goal 16,Goal 17
TZA,Tanzania,132,56.4,51.9,Africa,"59,734,213",18.7605,59.784375,44.31878571,53.065,72.90475,50.1018,34.644,66.92,22.42516667,46.7915,63.05,92.16433333,99.217,75.2665,60.3444,54.2859,45.30275
UGA,Uganda,140,53.5,51.9,Africa,"45,741,000",23.664,64.42142857,47.92207143,60.499,60.57725,44.9338,18.4545,62.1905,28.48066667,39.458,43.7795,88.549,99.22933333,,63.533,47.9806,47.10025
UKR,Ukraine,36,75.5,71.4,E. Europe & C. Asia,"43,733,759",99.774,63.821625,75.91114286,91.91766667,67.211,78.689,91.71166667,71.70783333,39.0075,98.811,75.47375,81.84683333,86.464,58.00416667,63.6828,65.3853,74.259
URY,Uruguay,41,74.5,68.6,LAC,"3,473,727",99.932,67.540875,82.81946154,88.769,73.43975,78.3142,96.89166667,75.40783333,45.05583333,49.4535,90.04666667,61.88366667,85.96133333,61.643,58.8142,73.2532,78.06233333
USA,United States,32,76,77.2,OECD,"331,002,647",99.2335,69.135375,88.68164286,99.241375,74.352,84.2718,93.531,76.60016667,93.94716667,46.956,92.593,53.5835,52.66366667,64.61866667,60.5942,73.3457,68.8155
UZB,Uzbekistan,77,69.8,71.4,E. Europe & C. Asia,"33,469,199",75.7845,65.38185714,78.21435714,97.39933333,73.1145,58.3596,87.04733333,62.4245,27.62883333,51.166,75.944,91.4548,93.11466667,,60.6532,74.368625,56.2865
VCT,St. Vincent and the Grenadines,,,68.6,LAC,"110,947",,,,,,,,,,,,,,,,,
VEN,"Venezuela, RB",122,59.3,68.6,LAC,"28,435,943",13.244,43.22585714,65.28678571,82.24466667,66.278,78.1348,92.112,70.7628,32.31733333,21.608,47.57966667,81.5725,85.692,64.51166667,69.027,34.13377778,60.782
VNM,Vietnam,51,72.8,65.7,East & South Asia,"97,338,583",95.1425,71.032625,72.46742857,97.10766667,72.20325,73.138,83.20033333,72.14916667,43.97566667,70.4995,80.11625,91.89966667,93.97,49.19216667,46.689,65.96,59.68125
VUT,Vanuatu,119,60.5,50.1,Oceania,"307,150",52.397,46.08057143,64.41333333,73.07333333,37.12266667,51.84675,34.4165,79.15066667,31.4705,62.2705,85.556,66.10683333,96.003,68.51666667,52.825,68.41616667,59.235
WSM,Samoa,,,50.1,Oceania,"198,410",,,,,,,,,,,,,,,,,
YEM,"Yemen, Rep.",145,52.9,67.1,MENA,"29,825,968",,40.70371429,44.69642857,55.689,13.44,38.4338,60.905,49.29466667,8.940166667,48.9305,42.8815,91.54583333,97.464,77.505,47.748,37.0585,51.11833333
ZAF,South Africa,107,63.7,51.9,Africa,"59,308,690",44.1865,58.5875,51.88192857,81.09666667,83.99625,64.0194,81.32566667,60.63966667,61.4255,0,78.90625,81.48433333,79.38533333,64.6025,58.982,58.616,74.473
